Sample ID	Frequency	No. of Associated Features
EP7-Amp-Blank-T3-ITS	24,678.0	5
EP7-DNAblank-T3-ITS	78,379.0	17
EP7-Idx-Blank-T3-ITS	10,934.0	6
EP7-Pine-Rep1-T3-ITS	236,228.0	570
EP7-Pine-Rep2-T3-ITS	317,956.0	606
EP7-Pine-Rep3-T3-ITS	140,214.0	442
EP7-Syn-Extr-T3-ITS	91,226.0	17
EP7-Syn-Rep1-T3-ITS	86,909.0	4
EP7-Syn-Rep2-T3-ITS	114,495.0	5
EP7-Syn-Rep3-T3-ITS	137,895.0	5
EP7-Syn-Rep4-T3-ITS	87,148.0	4
EP9-DNAblank-T3-ITS	13,637.0	2
EP9-Pine-Rep1-T3-ITS	380,827.0	649
EP9-Pine-Rep2-T3-ITS	337,558.0	611
EP9-Pine-Rep3-T3-ITS	401,398.0	643
EP9-Syn-Extr-T3-ITS	157,560.0	34
EP9-Syn-Rep1-T3-ITS	113,592.0	6
EP9-Syn-Rep2-T3-ITS	118,953.0	4
EP9-Syn-Rep3-T3-ITS	103,314.0	6
EP9-Syn-Rep4-T3-ITS	142,371.0	6
GC1-7085-T3-ITS	321,161.0	715
GC1-7128-T3-ITS	362,212.0	762
GC1-7294-T3-ITS	307,670.0	706
GC1-7368-T3-ITS	462,108.0	719
GC2-7136-T3-ITS	440,672.0	858
GC2-7507-T3-ITS	385,916.0	783
GC5-7089-T3-ITS	315,715.0	720
GC8-7367-T3-ITS	318,229.0	639
GC8-7377-T3-ITS	240,629.0	482
GC8-7582-T3-ITS	312,661.0	639
GC9-7100-T3-ITS	460,313.0	739
GC9-7537-T3-ITS	288,827.0	736
GE1-7638-T3-ITS	182,062.0	601
GE1-7647-T3-ITS	319,470.0	730
GE2-7383-T3-ITS	242,653.0	699
GE2-7483-T3-ITS	307,945.0	646
GE2-7530-T3-ITS	340,726.0	587
GE6-7040-T3-ITS	285,652.0	873
GE6-7186-T3-ITS	324,957.0	672
GE7-7423-T3-ITS	215,795.0	706
GE7-7427-T3-ITS	339,524.0	711
GE7-7575-T3-ITS	309,547.0	727
GE7-7658-T3-ITS	287,157.0	607
GE8-7645-T3-ITS	295,319.0	754
GE9-7002-T3-ITS	276,835.0	631
GE9-7272-T3-ITS	349,591.0	749
GE9-7480-T3-ITS	281,085.0	628
GT1-7384-T3-ITS	314,829.0	763
GT1-7482-T3-ITS	293,144.0	627
GT2-7200-T3-ITS	474,656.0	1,200
GT2-7573-T3-ITS	283,997.0	652
GT5-7253-T3-ITS	265,896.0	721
GT5-7456-T3-ITS	302,502.0	779
GT6-7349-T3-ITS	295,978.0	669
GT6-7486-T3-ITS	248,209.0	617
GT8-7254-T3-ITS	309,216.0	665
GT8-7420-T3-ITS	261,393.0	587
RM1-7391-T3-ITS	258,835.0	588
RM1-7523-T3-ITS	350,688.0	738
RM1-7665-T3-ITS	251,810.0	612
RM10-7324-T3-ITS	347,725.0	601
RM10-7352-T3-ITS	267,582.0	665
RM3-7115-T3-ITS	289,943.0	709
RM3-7538-T3-ITS	210,393.0	602
RM3-7609-T3-ITS	263,660.0	612
RM4-7358-T3-ITS	281,744.0	584
RM4-7411-T3-ITS	469,605.0	830
RM6-7031-T3-ITS	158,963.0	499
RM6-7065-T3-ITS	344,064.0	625
AC1-7050-T3-ITS	308,472.0	584
AC1-7329-T3-ITS	229,021.0	618
AC2-7049-T3-ITS	349,739.0	585
AC2-7464-T3-ITS	312,925.0	702
AC7-7439-T3-ITS	350,045.0	564
AC7-7592-T3-ITS	444,069.0	584
AC8-7174-T3-ITS	363,204.0	829
AC8-7184-T3-ITS	479,916.0	743
AC9-7142-T3-ITS	302,347.0	868
AC9-7660-T3-ITS	243,596.0	645
BB1-7504-T3-ITS	314,121.0	708
BB2-7590-T3-ITS	391,773.0	802
BB3-7657-T3-ITS	273,668.0	527
BB5-7171-T3-ITS	341,895.0	675
BB5-7600-T3-ITS	324,322.0	699
BB7-7181-T3-ITS	530,520.0	811
BB7-7268-T3-ITS	464,781.0	707
BE2-7141-T3-ITS	299,936.0	574
BE2-7500-T3-ITS	657,205.0	852
BE3-7237-T3-ITS	252,720.0	637
BE3-7245-T3-ITS	361,346.0	681
BE4-7267-T3-ITS	405,113.0	592
BE4-7663-T3-ITS	340,697.0	726
BE5-7146-T3-ITS	279,056.0	733
BE5-7334-T3-ITS	329,811.0	705
BE7-7019-T3-ITS	350,676.0	561
BE7-7585-T3-ITS	357,844.0	732
BW2-7362-T3-ITS	312,129.0	665
BW2-7628-T3-ITS	379,987.0	754
BW3-7429-T3-ITS	358,140.0	881
BW6-7173-T3-ITS	270,563.0	652
BW7-7366-T3-ITS	370,880.0	625
BW7-7593-T3-ITS	264,539.0	567
CG2-7148-T3-ITS	406,116.0	857
CG2-7208-T3-ITS	301,169.0	572
CG3-7376-T3-ITS	415,051.0	614
CG3-7651-T3-ITS	289,544.0	558
CG4-7425-T3-ITS	325,727.0	729
CG6-7014-T3-ITS	318,048.0	633
CG6-7344-T3-ITS	243,572.0	452
CG7-7434-T3-ITS	290,488.0	812
CG7-7655-T3-ITS	357,783.0	760
CG8-7084-T3-ITS	333,303.0	800
CG8-7522-T3-ITS	283,480.0	644
CR10-7431-T3-ITS	427,160.0	666
CR3-7338-T3-ITS	325,655.0	123
CR4-7143-T3-ITS	380,629.0	835
CR4-7211-T3-ITS	176,667.0	619
CR7-7183-T3-ITS	441,301.0	831
CR7-7652-T3-ITS	375,975.0	652
CR9-7298-T3-ITS	269,265.0	595
CR9-7469-T3-ITS	229,332.0	741
EP8-Amp-Blank-T3-ITS	2,576.0	2
EP8-DNAblank-T3-ITS	3,668.0	7
EP8-Idx-Blank-T3-ITS	15,095.0	5
EP8-Pine-Rep1-T3-ITS	289,765.0	605
EP8-Pine-Rep2-T3-ITS	314,850.0	581
EP8-Pine-Rep3-T3-ITS	370,049.0	627
EP8-Syn-Extr-T3-ITS	150,852.0	17
EP8-Syn-Rep1-T3-ITS	134,268.0	6
EP8-Syn-Rep2-T3-ITS	137,759.0	8
EP8-Syn-Rep3-T3-ITS	133,357.0	8
EP8-Syn-Rep4-T3-ITS	112,658.0	9
GC2-7078-T3-ITS	317,977.0	806
GC2-7276-T3-ITS	261,911.0	552
GC5-7178-T3-ITS	341,165.0	649
GC5-7457-T3-ITS	299,469.0	801
GC8-7501-T3-ITS	306,645.0	673
GC9-7275-T3-ITS	332,852.0	969
GC9-7589-T3-ITS	319,192.0	577
GE1-7087-T3-ITS	299,718.0	609
GE1-7112-T3-ITS	243,839.0	648
GE2-7555-T3-ITS	278,108.0	613
GE6-7205-T3-ITS	229,386.0	571
GE6-7213-T3-ITS	374,382.0	870
GE8-7242-T3-ITS	396,456.0	819
GE8-7333-T3-ITS	349,359.0	773
GE9-7053-T3-ITS	236,803.0	724
GT1-7236-T3-ITS	224,248.0	565
GT1-7407-T3-ITS	245,834.0	748
GT2-7210-T3-ITS	224,862.0	619
GT2-7297-T3-ITS	231,427.0	630
GT5-7107-T3-ITS	263,072.0	633
GT5-7309-T3-ITS	292,982.0	633
GT6-7595-T3-ITS	340,319.0	657
GT6-7618-T3-ITS	314,833.0	677
GT8-7009-T3-ITS	372,976.0	733
GT8-7341-T3-ITS	347,827.0	590
RM1-7145-T3-ITS	384,619.0	657
RM10-7202-T3-ITS	278,821.0	742
RM10-7402-T3-ITS	368,648.0	624
RM3-7623-T3-ITS	337,546.0	707
RM4-7436-T3-ITS	317,323.0	585
RM4-7620-T3-ITS	341,540.0	725
RM6-7120-T3-ITS	296,793.0	850
RM6-7203-T3-ITS	292,282.0	793
